answer,count,percent,sum,prob
ABLE,1599,0.10,0.325,0.0000157942
ETON,1585,0.10,0.344,0.0000443638
NERO,1584,0.10,0.345,0.0000448738
AURA,1583,0.10,0.325,0.0000218232
ERIC,1573,0.10,0.300,0.0000173637
RARE,1573,0.10,0.397,0.0000824615
UTAH,1570,0.10,0.232,0.0000043127
UNIT,1554,0.10,0.216,0.0000060407
ONTO,1554,0.10,0.282,0.0000241810
OMEN,1551,0.10,0.300,0.0000170551
APSE,1550,0.10,0.369,0.0000390764
USER,1549,0.10,0.321,0.0000200292
URGE,1543,0.10,0.252,0.0000043689
PSST,1538,0.10,0.276,0.0000156002
ABET,1529,0.10,0.343,0.0000211309
ANEW,1514,0.10,0.323,0.0000100428
ANTS,1513,0.10,0.335,0.0000438986
ASHE,1497,0.10,0.364,0.0000322195
ENID,1491,0.09,0.296,0.0000187027
IRIS,1490,0.09,0.284,0.0000241330
KNEE,1487,0.09,0.345,0.0000116382
OMIT,1484,0.09,0.235,0.0000090165
EMIR,1484,0.09,0.299,0.0000167324
EURO,1484,0.09,0.307,0.0000169544
OGLE,1482,0.09,0.285,0.0000106025
ORES,1481,0.09,0.373,0.0000657789
ERRS,1473,0.09,0.370,0.0000633924
OVER,1459,0.09,0.293,0.0000059308
ALES,1457,0.09,0.394,0.0000746960
RENO,1456,0.09,0.345,0.0000448738
ATOP,1453,0.09,0.289,0.0000171777
OVAL,1450,0.09,0.251,0.0000036709
EIRE,1448,0.09,0.409,0.0000838109
AERO,1443,0.09,0.400,0.0000855659
STEP,1442,0.09,0.325,0.0000242273
ARID,1438,0.09,0.285,0.0000187330
OMAR,1430,0.09,0.290,0.0000170828
SLED,1428,0.09,0.316,0.0000237970
STET,1415,0.09,0.369,0.0000619597
EVEN,1414,0.09,0.343,0.0000090992
ODES,1398,0.09,0.338,0.0000334162
RENE,1396,0.09,0.407,0.0000823281
OTIS,1366,0.09,0.296,0.0000290809
ARES,1362,0.09,0.413,0.0001010839
STEM,1361,0.09,0.325,0.0000238197
ANNA,1349,0.09,0.351,0.0000483021
ALIT,1328,0.08,0.301,0.0000269394
ESAU,1328,0.08,0.364,0.0000319380
NESS,1326,0.08,0.375,0.0000649837
ASTI,1325,0.08,0.336,0.0000446893
ARTS,1318,0.08,0.347,0.0000524945
ETTE,1315,0.08,0.418,0.0000962239
ICON,1314,0.08,0.225,0.0000079145
ABEL,1310,0.08,0.325,0.0000157942
EELS,1304,0.08,0.417,0.0000891778
EDNA,1304,0.08,0.350,0.0000350315
ELLE,1300,0.08,0.382,0.0000537578
AVER,1286,0.08,0.333,0.0000091139
IGOR,1283,0.08,0.228,0.0000064162
ECRU,1282,0.08,0.261,0.0000064444
AIDE,1280,0.08,0.351,0.0000356625
OLIO,1280,0.08,0.265,0.0000183995
NEON,1278,0.08,0.333,0.0000375258
EGOS,1278,0.08,0.320,0.0000175882
ETTA,1271,0.08,0.395,0.0000805979
NEAT,1267,0.08,0.384,0.0000681749
ARLO,1266,0.08,0.316,0.0000332133
SNAP,1265,0.08,0.292,0.0000171651
EDAM,1265,0.08,0.317,0.0000159215
EARL,1257,0.08,0.378,0.0000609350
OPEN,1255,0.08,0.301,0.0000173470
TEST,1254,0.08,0.369,0.0000619597
SETS,1250,0.08,0.386,0.0000768252
NEAR,1247,0.08,0.385,0.0000689586
NEED,1247,0.08,0.372,0.0000418233
ACES,1240,0.08,0.370,0.0000398685
ALAI,1230,0.08,0.345,0.0000434507
ACME,1226,0.08,0.308,0.0000123612
ELIA,1226,0.08,0.367,0.0000518748
ORCA,1222,0.08,0.291,0.0000177274
AGES,1214,0.08,0.360,0.0000270282
SCAR,1206,0.08,0.304,0.0000209423
EGAD,1205,0.08,0.309,0.0000112010
URAL,1201,0.08,0.263,0.0000101132
INCA,1200,0.08,0.265,0.0000121624
REAR,1195,0.08,0.397,0.0000824615
ADEN,1186,0.08,0.350,0.0000350315
ELAL,1185,0.08,0.359,0.0000450280
ERLE,1178,0.07,0.400,0.0000727489
INRE,1178,0.07,0.331,0.0000368157
AFRO,1170,0.07,0.273,0.0000064352
ACTS,1170,0.07,0.303,0.0000207043
EARN,1170,0.07,0.385,0.0000689586
STOP,1168,0.07,0.263,0.0000132054
LEER,1164,0.07,0.400,0.0000727489
SASS,1163,0.07,0.381,0.0000797882
LIAR,1161,0.07,0.302,0.0000272491
TEEN,1157,0.07,0.407,0.0000813924
TRIO,1156,0.07,0.280,0.0000237234
ERGO,1154,0.07,0.304,0.0000143480
OVEN,1153,0.07,0.281,0.0000049596
OHIO,1150,0.07,0.234,0.0000079365
REDO,1150,0.07,0.321,0.0000272600
RENT,1146,0.07,0.341,0.0000427543
SEER,1144,0.07,0.436,0.0001206817
STAN,1134,0.07,0.335,0.0000438986
STEW,1134,0.07,0.308,0.0000091272
ETRE,1126,0.07,0.418,0.0000973300
SENT,1119,0.07,0.358,0.0000524095
AJAR,1119,0.07,0.304,0.0000019078
MESA,1114,0.07,0.368,0.0000384189
ELSA,1108,0.07,0.394,0.0000746960
ESSE,1107,0.07,0.452,0.0001479354
SEMI,1106,0.07,0.315,0.0000205111
REEL,1099,0.07,0.400,0.0000727489
ESSO,1095,0.07,0.389,0.0000806338
ROAR,1094,0.07,0.334,0.0000449466
RIOT,1092,0.07,0.280,0.0000237234
ULNA,1090,0.07,0.252,0.0000084572
ROLE,1088,0.07,0.338,0.0000396526
OMAN,1087,0.07,0.278,0.0000142855
AMOS,1086,0.07,0.306,0.0000209406
SERA,1086,0.07,0.413,0.0001010839
SARI,1081,0.07,0.337,0.0000452030
AIDA,1080,0.07,0.328,0.0000298712
ASPS,1080,0.07,0.320,0.0000251617
MENU,1077,0.07,0.248,0.0000051932
APES,1075,0.07,0.369,0.0000390764
EDIE,1074,0.07,0.373,0.0000425766
ETAS,1070,0.07,0.412,0.0000999351
NASA,1069,0.07,0.379,0.0000708043
RATE,1068,0.07,0.396,0.0000815244
IDES,1065,0.07,0.324,0.0000274156
OKRA,1065,0.07,0.272,0.0000063538
NILE,1063,0.07,0.313,0.0000272050
URSA,1062,0.07,0.299,0.0000167766
STAB,1062,0.07,0.294,0.0000136064
USSR,1060,0.07,0.272,0.0000128970
AGRA,1059,0.07,0.322,0.0000184683
SLOE,1054,0.07,0.354,0.0000486073
ASTO,1053,0.07,0.350,0.0000544707
EWER,1051,0.07,0.358,0.0000143376
SPAR,1050,0.07,0.304,0.0000205263
STAT,1047,0.07,0.346,0.0000518979
AVON,1045,0.07,0.258,0.0000041542
ONUS,1041,0.07,0.247,0.0000091295
TARA,1038,0.07,0.374,0.0000682855
ODDS,1034,0.07,0.237,0.0000089171
AGEE,1030,0.07,0.409,0.0000419751
HERO,1027,0.07,0.308,0.0000171038
NETS,1026,0.07,0.358,0.0000524095
ODIE,1026,0.07,0.310,0.0000232068
TROT,1025,0.07,0.290,0.0000275501
ACNE,1022,0.06,0.341,0.0000271979
TALE,1022,0.06,0.377,0.0000602425
LAVA,1020,0.06,0.292,0.0000056411
UNTO,1020,0.06,0.229,0.0000073629
STAG,1018,0.06,0.294,0.0000140362
REED,1016,0.06,0.384,0.0000500128
TALC,1016,0.06,0.268,0.0000124809
TIER,1011,0.06,0.342,0.0000435243
EDDY,1010,0.06,0.225,0.0000026293
USES,1007,0.06,0.337,0.0000245524
ODIN,1005,0.06,0.233,0.0000101941
SEEN,1005,0.06,0.424,0.0001009203
ASTA,1004,0.06,0.390,0.0000837064
SPAS,1004,0.06,0.320,0.0000251617
LESS,1003,0.06,0.368,0.0000574226
TESS,1002,0.06,0.386,0.0000768252
HERE,1001,0.06,0.370,0.0000313796
NERD,997,0.06,0.307,0.0000219692
NOEL,996,0.06,0.326,0.0000331595
SORE,994,0.06,0.373,0.0000657789
EONS,993,0.06,0.361,0.0000550077
PERU,993,0.06,0.260,0.0000063163
SODA,993,0.06,0.315,0.0000279897
EATS,988,0.06,0.412,0.0000999351
HALO,987,0.06,0.266,0.0000105864
SARA,986,0.06,0.391,0.0000846687
SSTS,985,0.06,0.337,0.0000494686
SANE,983,0.06,0.401,0.0000845316
TRAP,983,0.06,0.287,0.0000165545
ETCH,982,0.06,0.260,0.0000064273
DELI,981,0.06,0.289,0.0000165265
DATA,980,0.06,0.338,0.0000346896
SNIT,978,0.06,0.282,0.0000234366
ASIS,977,0.06,0.354,0.0000554112
TIRE,975,0.06,0.342,0.0000435243
EMMA,974,0.06,0.307,0.0000119118
ERSE,974,0.06,0.436,0.0001206817
ABBA,973,0.06,0.268,0.0000046404
TERI,970,0.06,0.342,0.0000435243
DEER,968,0.06,0.384,0.0000500128
ARGO,966,0.06,0.282,0.0000120180
PLEA,965,0.06,0.334,0.0000235559
AGOG,965,0.06,0.229,0.0000032134
TEAR,961,0.06,0.396,0.0000815244
TENT,960,0.06,0.341,0.0000422684
AGED,958,0.06,0.309,0.0000112010
TRUE,958,0.06,0.304,0.0000161536
ARAL,957,0.06,0.356,0.0000510396
EYES,956,0.06,0.378,0.0000237759
REAL,955,0.06,0.378,0.0000609350
AGAR,955,0.06,0.322,0.0000184683
MERE,953,0.06,0.375,0.0000374174
USED,952,0.06,0.285,0.0000101750
ESTE,951,0.06,0.435,0.0001193102
AMES,951,0.06,0.368,0.0000384189
ADDS,949,0.06,0.277,0.0000137031
AWOL,948,0.06,0.254,0.0000048370
STAY,948,0.06,0.289,0.0000103421
ACID,945,0.06,0.242,0.0000073885
AUTO,943,0.06,0.284,0.0000140397
EARS,943,0.06,0.413,0.0001010839
INON,936,0.06,0.257,0.0000167809
SLAT,934,0.06,0.328,0.0000387908
NOSE,932,0.06,0.361,0.0000550077
ALDA,931,0.06,0.320,0.0000259285
GENE,930,0.06,0.355,0.0000220132
SALE,928,0.06,0.394,0.0000746960
ERNE,926,0.06,0.407,0.0000823281
OAHU,921,0.06,0.236,0.0000045265
SEED,919,0.06,0.400,0.0000613073
NINE,918,0.06,0.320,0.0000307872
EAVE,916,0.06,0.398,0.0000173505
REDS,916,0.06,0.335,0.0000322038
SOSO,915,0.06,0.327,0.0000439503
AMMO,914,0.06,0.245,0.0000064926
NORA,910,0.06,0.323,0.0000375866
SAGA,910,0.06,0.338,0.0000226391
LENA,908,0.06,0.366,0.0000509570
EXIT,906,0.06,0.273,0.0000016476
RISE,906,0.06,0.360,0.0000539668
NATO,905,0.06,0.322,0.0000371595
LANE,902,0.06,0.366,0.0000509570
AMID,901,0.06,0.241,0.0000071198
ELMO,901,0.06,0.293,0.0000150707
LIRA,901,0.06,0.302,0.0000272491
OMNI,900,0.06,0.224,0.0000076268
TONE,897,0.06,0.344,0.0000443638
ESPY,896,0.06,0.268,0.0000048280
LENO,895,0.06,0.326,0.0000331595
SEAT,894,0.06,0.412,0.0000999351
MESS,892,0.06,0.342,0.0000295345
UPON,892,0.06,0.186,0.0000028790
RILE,890,0.06,0.324,0.0000325320
ABUT,888,0.06,0.228,0.0000035070
SOLO,887,0.06,0.292,0.0000264940
ONEA,885,0.06,0.388,0.0000715547
ETTU,884,0.06,0.303,0.0000159700
UNDO,883,0.06,0.195,0.0000037834
TATA,881,0.06,0.373,0.0000675094
LORE,879,0.06,0.338,0.0000396526
OPEC,879,0.06,0.269,0.0000081815
CEDE,877,0.06,0.340,0.0000197255
STYE,876,0.06,0.312,0.0000123472
ERTE,874,0.06,0.418,0.0000973300
ELIE,873,0.06,0.390,0.0000619321
ERST,873,0.06,0.370,0.0000626719
TORE,872,0.06,0.356,0.0000530508
SEES,869,0.06,0.452,0.0001479354
SEAL,865,0.06,0.394,0.0000746960
ASST,863,0.05,0.363,0.0000643494
OATH,863,0.05,0.284,0.0000141635
UCLA,863,0.05,0.220,0.0000039887
EASY,861,0.05,0.355,0.0000199149
AKIN,859,0.05,0.247,0.0000043592
SNAG,859,0.05,0.283,0.0000118727
SPED,858,0.05,0.291,0.0000124492
AXLE,856,0.05,0.309,0.0000023067
LATE,853,0.05,0.377,0.0000602425
ORSO,853,0.05,0.311,0.0000358535
REIN,853,0.05,0.331,0.0000368157
YEAR,853,0.05,0.339,0.0000162460
TAXI,852,0.05,0.251,0.0000013800
SLOT,851,0.05,0.288,0.0000252426
ARTE,851,0.05,0.396,0.0000815244
SPOT,850,0.05,0.263,0.0000132054
SIRE,849,0.05,0.360,0.0000539668
SOLE,849,0.05,0.354,0.0000486073
SPAT,849,0.05,0.303,0.0000202930
NONE,846,0.05,0.333,0.0000375258
TBAR,846,0.05,0.277,0.0000110998
IOWA,845,0.05,0.262,0.0000055725
ASKS,844,0.05,0.302,0.0000092012
ROSE,842,0.05,0.373,0.0000657789
AHAB,842,0.05,0.272,0.0000057064
ACED,841,0.05,0.318,0.0000165223
ALAR,840,0.05,0.356,0.0000510396
AHEM,840,0.05,0.303,0.0000099897
ARCH,839,0.05,0.239,0.0000054454
REAP,839,0.05,0.353,0.0000318775
SECT,839,0.05,0.326,0.0000247184
ISNT,837,0.05,0.282,0.0000234366
SATE,836,0.05,0.412,0.0000999351
AMOR,834,0.05,0.290,0.0000170828
SCAN,834,0.05,0.292,0.0000175131
SCAM,833,0.05,0.260,0.0000079595
SCAT,833,0.05,0.303,0.0000207043
RACE,831,0.05,0.353,0.0000325236
TACO,830,0.05,0.290,0.0000175259
OSHA,827,0.05,0.302,0.0000175616
ATIT,826,0.05,0.319,0.0000360420
SERE,826,0.05,0.436,0.0001206817
EWES,823,0.05,0.374,0.0000175754
NOAH,823,0.05,0.273,0.0000119804
TEES,822,0.05,0.435,0.0001193102
HARE,820,0.05,0.348,0.0000262838
LAIR,820,0.05,0.302,0.0000272491
IRMA,819,0.05,0.276,0.0000140152
AMOK,818,0.05,0.228,0.0000024149
SEND,817,0.05,0.323,0.0000269305
PESO,815,0.05,0.329,0.0000254284
GNAT,813,0.05,0.266,0.0000095754
MEET,812,0.05,0.374,0.0000369921
OARS,810,0.05,0.351,0.0000550969
AQUA,806,0.05,0.254,0.0000002288
IVAN,804,0.05,0.245,0.0000034082
OXEN,803,0.05,0.275,0.0000016987
IAGO,802,0.05,0.271,0.0000102311
ALOU,797,0.05,0.266,0.0000104939
SILO,797,0.05,0.278,0.0000217364
SNIP,796,0.05,0.238,0.0000091641
OPIE,793,0.05,0.302,0.0000176595
INNS,792,0.05,0.271,0.0000198242
PAPA,790,0.05,0.286,0.0000103218
AVID,789,0.05,0.221,0.0000020704
EZRA,789,0.05,0.327,0.0000025275
SLAP,789,0.05,0.285,0.0000151679
NOTE,788,0.05,0.344,0.0000443638
ELBA,785,0.05,0.325,0.0000157942
RANT,783,0.05,0.319,0.0000358113
RHEA,783,0.05,0.348,0.0000262838
ETAT,782,0.05,0.395,0.0000805979
EYED,782,0.05,0.326,0.0000098532
SHOE,781,0.05,0.324,0.0000209664
ERMA,779,0.05,0.352,0.0000313411
LENS,778,0.05,0.340,0.0000391732
COLA,776,0.05,0.272,0.0000130996
IRAS,774,0.05,0.337,0.0000452030
EGGS,773,0.05,0.265,0.0000045322
ARNO,773,0.05,0.323,0.0000375866
NINA,773,0.05,0.297,0.0000257876
RITE,772,0.05,0.342,0.0000435243
OHNO,772,0.05,0.233,0.0000077961
RASP,767,0.05,0.304,0.0000205263
ALMA,766,0.05,0.311,0.0000193986
TENS,765,0.05,0.358,0.0000524095
SCOT,762,0.05,0.263,0.0000134730
OPTS,760,0.05,0.263,0.0000132054
SNOW,760,0.05,0.234,0.0000042081
ENYA,760,0.05,0.327,0.0000135858
TOSS,759,0.05,0.323,0.0000418744
ERAT,758,0.05,0.396,0.0000815244
OLLA,755,0.05,0.297,0.0000245430
YALE,754,0.05,0.320,0.0000120050
ASSN,753,0.05,0.352,0.0000544309
READ,753,0.05,0.361,0.0000418911
PEST,752,0.05,0.325,0.0000242273
OATS,752,0.05,0.350,0.0000544707
RATS,751,0.05,0.347,0.0000524945
EXES,749,0.05,0.366,0.0000045684
LINE,749,0.05,0.313,0.0000272050
OBIT,748,0.05,0.226,0.0000061490
RAGE,746,0.05,0.344,0.0000220489
TOGA,746,0.05,0.281,0.0000118814
LEAN,745,0.05,0.366,0.0000509570
PEER,745,0.05,0.375,0.0000380577
SMEE,743,0.05,0.391,0.0000458674
ICED,743,0.05,0.264,0.0000088209
NONO,743,0.05,0.271,0.0000204538
AVOW,741,0.05,0.209,0.0000007235
ALUM,740,0.05,0.219,0.0000038437
NCAA,739,0.05,0.319,0.0000227812
SPEC,736,0.05,0.282,0.0000096653
LONE,734,0.05,0.326,0.0000331595
ABCS,732,0.05,0.251,0.0000054282
EBBS,732,0.05,0.263,0.0000042589
GALA,732,0.05,0.303,0.0000136472
NAME,731,0.05,0.340,0.0000262090
NEMO,731,0.05,0.300,0.0000170551
TAPE,731,0.05,0.352,0.0000315152
TARO,730,0.05,0.334,0.0000444358
LAST,729,0.05,0.328,0.0000387908
RAVE,728,0.05,0.333,0.0000091139
SOAR,727,0.05,0.351,0.0000550969
SPAN,727,0.05,0.292,0.0000171651
RAIL,726,0.05,0.302,0.0000272491
RAIN,726,0.05,0.309,0.0000308371
LEAP,725,0.05,0.334,0.0000235559
ONLY,725,0.05,0.203,0.0000034316
SALT,724,0.05,0.328,0.0000387908
DENT,723,0.05,0.306,0.0000217195
REBA,723,0.05,0.343,0.0000213738
SITE,723,0.05,0.359,0.0000533534
LEAR,722,0.05,0.378,0.0000609350
OBEY,722,0.05,0.245,0.0000027402
ESTA,720,0.05,0.412,0.0000999351
LIEU,720,0.05,0.275,0.0000102787
TINA,719,0.05,0.308,0.0000304866
LIEN,718,0.05,0.313,0.0000272050
TOTE,718,0.05,0.355,0.0000524479
EMIL,717,0.05,0.280,0.0000123644
ESPN,717,0.05,0.314,0.0000204930
YENS,716,0.05,0.301,0.0000104441
THAI,715,0.05,0.271,0.0000116201
SASH,713,0.05,0.315,0.0000207465
ALPS,712,0.05,0.285,0.0000151679
IBIS,709,0.05,0.230,0.0000062552
NOON,709,0.05,0.271,0.0000204538
LENT,707,0.04,0.323,0.0000315933
TILE,706,0.04,0.324,0.0000321623
EYRE,704,0.04,0.361,0.0000193957
RANI,704,0.04,0.309,0.0000308371
DENY,702,0.04,0.249,0.0000043282
OTOE,701,0.04,0.359,0.0000550480
RIDE,700,0.04,0.308,0.0000223649
ADOS,699,0.04,0.315,0.0000279897
ICES,699,0.04,0.316,0.0000212850
DARE,698,0.04,0.361,0.0000418911
SELL,698,0.04,0.333,0.0000346153
ELIS,694,0.04,0.341,0.0000398788
NANA,694,0.04,0.351,0.0000483021
OOZE,694,0.04,0.289,0.0000017067
INGE,692,0.04,0.279,0.0000098439
SEEP,690,0.04,0.391,0.0000466524
ARCS,690,0.04,0.304,0.0000209423
LION,690,0.04,0.250,0.0000148284
OLGA,690,0.04,0.263,0.0000088807
ROOT,690,0.04,0.293,0.0000289159
LOLA,688,0.04,0.297,0.0000245430
EVES,687,0.04,0.371,0.0000133382
PETE,686,0.04,0.374,0.0000376252
ILIE,686,0.04,0.314,0.0000276950
ETUI,686,0.04,0.293,0.0000137518
AINT,685,0.04,0.308,0.0000304866
EACH,684,0.04,0.304,0.0000103666
OBIE,680,0.04,0.293,0.0000118406
SEAR,680,0.04,0.413,0.0001010839
SHED,680,0.04,0.286,0.0000102647
SMOG,680,0.04,0.210,0.0000035114
DEED,679,0.04,0.348,0.0000254069
SNOB,678,0.04,0.242,0.0000074894
NOVA,677,0.04,0.258,0.0000041542
EKES,677,0.04,0.374,0.0000170600
GLEE,677,0.04,0.348,0.0000194519
RELY,677,0.04,0.277,0.0000075286
ROTC,676,0.04,0.247,0.0000109909
STOW,676,0.04,0.245,0.0000049749
AGUE,675,0.04,0.295,0.0000069665
ELMS,674,0.04,0.307,0.0000178039
NAIL,674,0.04,0.290,0.0000227871
YETI,674,0.04,0.284,0.0000085749
ACLU,673,0.04,0.220,0.0000039887
ARTY,670,0.04,0.273,0.0000084368
ATRA,670,0.04,0.374,0.0000682855
ROTE,669,0.04,0.356,0.0000530508
ATEE,669,0.04,0.461,0.0001552001
ELLS,667,0.04,0.333,0.0000346153
OREL,667,0.04,0.338,0.0000396526
SHEA,667,0.04,0.364,0.0000322195
ANKA,666,0.04,0.301,0.0000081652
HONE,666,0.04,0.296,0.0000143031
LOSE,666,0.04,0.354,0.0000486073
MAMA,665,0.04,0.285,0.0000099774
UGLI,665,0.04,0.157,0.0000014437
ESAI,663,0.04,0.403,0.0000860541
SEAS,663,0.04,0.430,0.0001239118
ANAT,662,0.04,0.362,0.0000571038
EXAM,662,0.04,0.283,0.0000011864
TODO,661,0.04,0.258,0.0000146895
POLO,660,0.04,0.231,0.0000083550
LACE,660,0.04,0.334,0.0000240333
RITA,660,0.04,0.320,0.0000364563
APED,659,0.04,0.317,0.0000161940
AXEL,659,0.04,0.309,0.0000023067
AMPS,658,0.04,0.259,0.0000078014
DEAN,658,0.04,0.350,0.0000350315
APER,657,0.04,0.353,0.0000318775
ROSA,656,0.04,0.351,0.0000550969
OLES,655,0.04,0.354,0.0000486073
SORT,655,0.04,0.307,0.0000341600
NAPA,652,0.04,0.319,0.0000223286
RAPT,652,0.04,0.287,0.0000165545
OLDS,649,0.04,0.253,0.0000129708
LAOS,648,0.04,0.332,0.0000407139
ISIS,647,0.04,0.300,0.0000295830
TEND,647,0.04,0.306,0.0000217195
UTES,647,0.04,0.320,0.0000198016
ILLS,646,0.04,0.257,0.0000154793
TEAL,646,0.04,0.377,0.0000602425
URNS,646,0.04,0.244,0.0000087982
NEAP,645,0.04,0.341,0.0000266576
STUN,645,0.04,0.243,0.0000086983
SAME,644,0.04,0.368,0.0000384189
SPAM,644,0.04,0.259,0.0000078014
SETH,644,0.04,0.320,0.0000199761
ANNO,643,0.04,0.311,0.0000314319
DENS,643,0.04,0.323,0.0000269305
HOSE,643,0.04,0.324,0.0000209664
EMUS,642,0.04,0.276,0.0000076125
RICE,642,0.04,0.300,0.0000173637
SAGE,642,0.04,0.360,0.0000270282
AUDI,641,0.04,0.236,0.0000059188
REAM,641,0.04,0.352,0.0000313411
SCAB,641,0.04,0.251,0.0000054282
TOTO,641,0.04,0.293,0.0000285873
TONI,640,0.04,0.268,0.0000198387
AMIE,639,0.04,0.341,0.0000266811
TORI,639,0.04,0.280,0.0000237234
HAHA,636,0.04,0.276,0.0000070172
METE,636,0.04,0.374,0.0000369921
OOPS,635,0.04,0.266,0.0000138600
ATTA,635,0.04,0.373,0.0000675094
ACTI,634,0.04,0.276,0.0000143787
OPUS,634,0.04,0.214,0.0000042203
URIS,634,0.04,0.245,0.0000089567
DELE,633,0.04,0.365,0.0000369570
ASIF,633,0.04,0.275,0.0000064719
LETS,632,0.04,0.351,0.0000463115
NARC,632,0.04,0.276,0.0000142867
OGEE,632,0.04,0.369,0.0000273147
NEER,631,0.04,0.407,0.0000823281
NICE,631,0.04,0.288,0.0000145205
IMAC,630,0.04,0.232,0.0000055277
DRAT,629,0.04,0.295,0.0000217547
AVIS,628,0.04,0.273,0.0000049960
MAGI,628,0.04,0.223,0.0000037474
TUNA,628,0.04,0.270,0.0000113148
SLAB,626,0.04,0.276,0.0000101701
ATTN,625,0.04,0.318,0.0000354043
RIPE,624,0.04,0.299,0.0000170188
SLEW,624,0.04,0.290,0.0000068221
BALI,623,0.04,0.249,0.0000070629
SOFA,623,0.04,0.289,0.0000078884
THEE,622,0.04,0.369,0.0000310230
LIMO,622,0.04,0.217,0.0000067394
SEEM,622,0.04,0.391,0.0000458674
SLAM,622,0.04,0.284,0.0000149127
CENT,621,0.04,0.298,0.0000168627
DATE,621,0.04,0.361,0.0000414150
RASH,621,0.04,0.299,0.0000169245
TREK,621,0.04,0.291,0.0000072274
HALE,620,0.04,0.329,0.0000194225
TART,620,0.04,0.330,0.0000423369
LISA,619,0.04,0.318,0.0000334028
PLAN,618,0.04,0.257,0.0000103474
TAME,617,0.04,0.351,0.0000309849
NADA,616,0.04,0.327,0.0000293427
ATAD,615,0.04,0.338,0.0000346896
EERO,614,0.04,0.422,0.0001021552
HOLE,614,0.04,0.289,0.0000126389
CIAO,613,0.04,0.280,0.0000150915
FREE,613,0.04,0.357,0.0000140953
HATE,613,0.04,0.347,0.0000259851
STLO,613,0.04,0.288,0.0000252426
TEEM,613,0.04,0.374,0.0000369921
ALPO,612,0.04,0.271,0.0000128394
PARE,612,0.04,0.353,0.0000318775
CASE,611,0.04,0.370,0.0000398685
TEAS,611,0.04,0.412,0.0000999351
ELKS,610,0.04,0.289,0.0000066220
