answer,count,percent,sum,prob
AREA,4600,0.29,0.440,0.0001314912
ERIE,3779,0.24,0.409,0.0000838109
ALOE,3674,0.23,0.381,0.0000632290
ARIA,3547,0.23,0.364,0.0000588006
ELSE,3141,0.20,0.417,0.0000891778
ANTE,2947,0.19,0.384,0.0000681749
OREO,2912,0.19,0.359,0.0000556808
IDEA,2893,0.18,0.351,0.0000356625
EDEN,2891,0.18,0.372,0.0000418233
ORAL,2670,0.17,0.316,0.0000332133
ODOR,2524,0.16,0.259,0.0000148584
ASIA,2418,0.15,0.380,0.0000720796
ANTI,2415,0.15,0.308,0.0000304866
ISLE,2252,0.14,0.341,0.0000398788
EASE,2249,0.14,0.478,0.0001924361
ACRE,2212,0.14,0.353,0.0000325236
ERAS,2184,0.14,0.413,0.0001010839
ALAS,2183,0.14,0.372,0.0000625660
OBOE,2177,0.14,0.306,0.0000144323
STAR,2142,0.14,0.347,0.0000524945
TREE,2082,0.13,0.418,0.0000973300
ASEA,2077,0.13,0.456,0.0001611859
IDOL,2059,0.13,0.226,0.0000090080
ECHO,2057,0.13,0.264,0.0000067459
ETAL,2057,0.13,0.377,0.0000602425
EPEE,2054,0.13,0.440,0.0000724515
ETNA,2034,0.13,0.384,0.0000681749
AMEN,2016,0.13,0.340,0.0000262090
OSLO,1998,0.13,0.292,0.0000264940
OLEO,1986,0.13,0.341,0.0000411453
TSAR,1983,0.13,0.347,0.0000524945
IRON,1981,0.13,0.269,0.0000200668
ACHE,1980,0.13,0.304,0.0000103666
ENDS,1953,0.12,0.323,0.0000269305
EDIT,1894,0.12,0.307,0.0000221107
ALTO,1891,0.12,0.315,0.0000328358
ONES,1869,0.12,0.361,0.0000550077
ANNE,1866,0.12,0.373,0.0000576668
EDGE,1835,0.12,0.331,0.0000133726
IRAN,1822,0.12,0.309,0.0000308371
OGRE,1812,0.12,0.304,0.0000143480
ANON,1811,0.12,0.311,0.0000314319
ONCE,1807,0.11,0.301,0.0000176987
IDLE,1805,0.11,0.289,0.0000165265
ELAN,1790,0.11,0.366,0.0000509570
ALEE,1782,0.11,0.443,0.0001160036
STIR,1780,0.11,0.294,0.0000280258
ITEM,1773,0.11,0.298,0.0000165422
ISEE,1747,0.11,0.425,0.0001027379
EROS,1736,0.11,0.373,0.0000657789
IOTA,1727,0.11,0.323,0.0000378287
ERIN,1720,0.11,0.331,0.0000368157
ALEC,1705,0.11,0.334,0.0000240333
REST,1704,0.11,0.370,0.0000626719
NEST,1702,0.11,0.358,0.0000524095
ASAP,1697,0.11,0.347,0.0000327307
ELLA,1684,0.11,0.359,0.0000450280
ENOS,1676,0.11,0.361,0.0000550077
ADAM,1666,0.11,0.294,0.0000133360
EMIT,1659,0.11,0.298,0.0000165422
EVER,1658,0.11,0.355,0.0000108809
AFAR,1653,0.11,0.313,0.0000098891
ALOT,1650,0.10,0.315,0.0000328358
INTO,1649,0.10,0.268,0.0000198387
OPAL,1638,0.10,0.271,0.0000128394
AONE,1628,0.10,0.388,0.0000715547
OTTO,1626,0.10,0.293,0.0000285873
ALAN,1626,0.10,0.344,0.0000426820
ATOM,1624,0.10,0.289,0.0000168886
EVIL,1623,0.10,0.260,0.0000035956
EPIC,1621,0.10,0.255,0.0000067124
ARAB,1618,0.10,0.321,0.0000179029
ALSO,1604,0.10,0.332,0.0000407139
EAST,1600,0.10,0.412,0.0000999351
