word,count
cookie,1438
treat,379
snack,337
sandwich,294
white,257
black,226
nabisco,213
creme,163
cream,131
filled,131
popular,116
1912,115
two,111
brand,103
sweet,88
favorite,84
three,80
hydrox,76
ice,73
tone,72
layered,62
flavor,62
apart,59
twistable,55
milk,54
double,53
lunchbox,49
triple,46
stuf,43
name,41
decker,41
layer,40
dessert,39
chocolate,38
selling,38
twisted,36
rival,35
classic,35
dunkable,34
variety,33
lunch,32
cookies,31
best,31
bite,29
ingredient,29
item,28
dunked,27
introduced,26
toned,24
twist,23
alternative,23
centered,23
delight,23
school,20
first,19
stackable,19
middle,18
one,18
crunchy,18
mcflurry,18
oft,17
choice,17
filling,17
take,17
eaten,16
goodie,16
dirt,16
topping,16
inside,15
round,15
modern,15
sundae,15
crumbled,15
dunker,14
competitor,14
droxie,14
circular,14
pie,14
product,13
out,13
stack,13
stacked,13
tiered,13
chocolaty,13
mountain,12
box,12
center,12
bicolor,12
crossword,12
blizzard,12
cakesters,12
creamy,11
food,11
pulled,11
nosh,11
top,11
fried,11
embossed,11
common,11
vowel,10
rich,10
part,10
biscuit,10
lickable,10
old,10
kosher,10
monster,10
nibble,10
